Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
ready (adj.),ˈrɛdi/ রেডি/ red-ee,In a suitable state for an action or situation; fully prepared.,প্রস্তুত,Are you ready to go?,"A runner in the starting blocks, tense and prepared for the starting gun.","get ready, ready to go",
real (adj.),riːl/ রিয়েল/ reel,Actually existing as a thing or occurring in fact; not imagined or supposed.,বাস্তব / আসল,Is that a real diamond?,A stark contrast between a flawless diamond and a cheap plastic bead.,"real life, real world",
realistic (adj.),rɪəˈlɪstɪk/ রিয়ালিস্টিক/ ree-uh-lis-tik,Having or showing a sensible and practical idea of what can be achieved or expected.,বাস্তবসম্মত,We need to set realistic goals.,"A person writing down achievable, concrete steps on a large goal-setting board.","realistic goal, highly realistic",
reality (n.),riˈæləti/ রিয়েলিটি/ ree-al-i-tee,"The world or the state of things as they actually exist, as opposed to an idealistic or notional idea of them.",বাস্তবতা,He refused to face reality.,A mirror reflecting a messy room while the person standing before it imagines a palace.,"in reality, harsh reality",
realize (BrE also -ise) (v.),ˈriːəlaɪz/ রিয়ালাইজ/ ree-uh-lahyz,Become fully aware of (something) as a fact; understand clearly.,উপলব্ধি করা,I didn't realize how late it was.,A person looking at a clock with wide eyes in sudden realization.,"suddenly realize, fail to realize",
really (adv.),ˈriːəli/ রিয়েলি/ ree-uh-lee,"In actual fact, as opposed to what is said or imagined to be true or possible.",সত্যিই,Are you really going to quit?,A person looking incredulous with one raised eyebrow.,"not really, really good",
"really, real ","ˈriːəli, riːl/ রিয়েলি, রিয়েল/ ree-uh-lee, reel",Used to emphasize a statement or opinion.,প্রকৃত / সত্যি,This is a really good book.,A person reading a book and giving an enthusiastic thumbs up.,"for real, really want",
"rear (n.), (adj.) ",rɪə/ রিয়ার/ reer,"The back part of something, especially a building or vehicle.",পিছন / পিছনের দিক,The car was damaged in the rear.,The back end of a red car showing a dent near the bumper.,"rear window, rear view",
reason (n.),ˈriːzn/ রিজন/ ree-zuhn,"A cause, explanation, or justification for an action or event.",কারণ,Give me one good reason to stay.,A thought bubble filled with a bright glowing question mark.,"main reason, for this reason",
reasonable (adj.),ˈriːznəbl/ রিজনেবল/ ree-zuhn-uh-buhl,Having sound judgment; fair and sensible.,যৌক্তিক,He made a reasonable request.,"Two people shaking hands over a balanced scale, signifying fairness.","reasonable price, perfectly reasonable",
reasonably (adv.),ˈriːznəbli/ রিজনেবলি/ ree-zuhn-uh-blee,In a fair and sensible way.,যুক্তিযুক্তভাবে,The car is reasonably priced.,A price tag on a nice car showing an affordable number.,"reasonably priced, reasonably well",
recall (v.),rɪˈkɔːl/ রিকল/ ri-kawl,"Bring (a fact, event, or situation) back into one's mind; remember.",স্মরণ করা,I cannot recall his name.,A person tapping their chin while looking up at a blurry thought bubble.,"vividly recall, recall seeing",
receipt (n.),rɪˈsiːt/ রিসিট/ rih-seet,A printed or written statement acknowledging that something has been paid for or that goods have been received.,রসিদ,Please keep your receipt as proof of purchase.,A printed store receipt resting next to a coffee cup and some coins.,"ask for a receipt, original receipt",
receive (v.),rɪˈsiːv/ রিসিভ/ rih-seev,"Be given, presented with, or paid (something).",গ্রহণ করা / পাওয়া,Did you receive my email?,A digital tablet screen displaying a notification of a new email arriving.,"receive a letter, receive a reward",
recent (adj.),ˈriːsnt/ রিসেন্ট/ ree-suhnt,"Having happened, begun, or been done not long ago or in the recent past.",সাম্প্রতিক,There has been a recent increase in sales.,A calendar showing the current week marked heavily with events.,"recent years, in recent times",
recently (adv.),ˈriːsntli/ রিসেন্টলি/ ree-suhnt-lee,At a recent time; not long ago.,সম্প্রতি,We recently moved to a new house.,A moving box half unpacked in a brand new living room.,"until recently, fairly recently",
reception (n.),rɪˈsepʃn/ রিসেপশন/ rih-sep-shuhn,"The action or process of receiving something sent, given, or inflicted; a formal social occasion held to welcome someone.",অভ্যর্থনা / সংবর্ধনা,We attended their wedding reception.,A warmly lit hotel reception desk with a welcoming receptionist.,"wedding reception, reception desk",
reckon (v.),ˈrekən/ রেকন/ rek-uhn,Consider or believe; calculate.,মনে করা / হিসাব করা,I reckon it will rain today.,"A person looking at the sky, thoughtfully predicting the weather.","reckon with, reckon that",
recognition (n.),ˌrekəɡˈnɪʃn/ রিকগনিশন/ rek-uhg-nish-uhn,Identification of someone or something or person from previous encounters or knowledge.,স্বীকৃতি / চেনা,He changed so much he was beyond recognition.,A face-scanning computer graphic analyzing the features of a person.,"international recognition, gain recognition",
recognize (BrE also -ise) (v.),ˈrekəɡnaɪz/ রিকগনাইজ/ rek-uhg-nize,Identify (someone or something) from having encountered them before; know again.,চিনতে পারা / স্বীকৃতি দেওয়া,I didn't recognize you with your new haircut.,"A person looking pleasantly surprised, pointing at a friend they just recognized.","instantly recognize, clearly recognize",
recommend (v.),ˌrekəˈmend/ রেকমেন্ড/ rek-uh-mend,Put forward (someone or something) with approval as being suitable for a particular purpose or role.,সুপারিশ করা,I highly recommend this restaurant.,A five-star rating hovering over a plate of delicious food.,"highly recommend, strongly recommend",
"record (n.), (v.) ",ˈrekɔːd/ রেকর্ড/ rek-ord,A thing constituting a piece of evidence about the past; set down in writing or some other permanent form for later reference.,নথি / রেকর্ড করা,Keep a record of all your expenses.,A classic black vinyl record spinning on a turntable.,"medical record, break a record",
recording (n.),rɪˈkɔːdɪŋ/ রেকর্ডিং/ rih-kor-ding,A piece of music or speech that has been recorded.,রেকর্ডিং,We listened to a recording of his speech.,A professional studio microphone with a glowing red 'Recording' sign in the background.,"sound recording, video recording",
recover (v.),rɪˈkʌvə(r)/ রিকভার/ rih-kuhv-er,"Return to a normal state of health, mind, or strength.",সুস্থ হওয়া / উদ্ধার করা,It took him a week to recover from the flu.,A healthy person getting out of bed and throwing away a box of tissues.,"fully recover, recover from",
"red (adj.), (n.) ",red/ রেড/ red,Of a colour at the end of the spectrum next to orange and opposite violet.,লাল,She bought a red apple.,"A brilliant, glossy red apple sitting on a white surface.","bright red, red blood",
reduce (v.),rɪˈdjuːs/ রিডিউস/ rih-dyoos,"Make smaller or less in amount, degree, or size.",কমানো,We need to reduce our expenses.,A pair of scissors cutting a printed price tag in half.,"reduce the risk, drastically reduce",
reduction (n.),rɪˈdʌkʃn/ রিডাকশন/ rih-duhk-shuhn,"The action or fact of making a specified thing smaller or less in amount, degree, or size.",হ্রাস,There has been a significant reduction in crime.,A large red downward arrow overlaying a bar chart showing decreasing numbers.,"significant reduction, price reduction",
refer to (v.),rɪˈfɜː(r) tu/ রেফার টু/ rih-fur too,Mention or allude to.,উল্লেখ করা / নির্দেশ করা,Please refer to the manual for instructions.,A hand pointing to a specific paragraph in an open instruction manual.,"refer to as, commonly refer to",
reference (n.),ˈrefrəns/ রেফারেন্স/ ref-er-uhns,The action of mentioning or alluding to something.,উল্লেখ / সূত্র,Keep this document for future reference.,A thick encyclopedia with colorful sticky notes marking various pages.,"point of reference, quick reference",
reflect (v.),rɪˈflekt/ রিফ্লেক্ট/ rih-flekt,"Throw back (heat, light, or sound) without absorbing it.",প্রতিফলিত করা,The water reflected the sunlight.,A calm lake perfectly reflecting the bright setting sun and clouds.,"reflect on, clearly reflect",
"reform (v.), (n.) ",rɪˈfɔːm/ রিফর্ম/ rih-form,"Make changes in (something, typically a social, political, or economic institution or practice) in order to improve it.",সংস্কার করা / সংস্কার,They are demanding a reform of the education system.,A group of people standing outside a government building with signs calling for change.,"social reform, economic reform",
refrigerator (n.),rɪˈfrɪdʒəreɪtə(r)/ রেফ্রিজারেটর/ rih-frij-uh-ray-ter,An appliance or compartment which is artificially kept cool and used to store food and drink.,ফ্রিজ,Put the milk in the refrigerator.,"A large, silver double-door refrigerator standing in a modern kitchen.","keep in the refrigerator, open the refrigerator",
refusal (n.),rɪˈfjuːzl/ রিফিউজ়াল/ rih-fyoo-zuhl,An act or an instance of refusing; the state of being refused.,প্রত্যাখ্যান,His refusal to help surprised everyone.,A person turning their head away and holding a hand up in a clear 'no' gesture.,"flat refusal, point-blank refusal",
refuse (v.),rɪˈfjuːz/ রিফিউজ়/ rih-fyooz,Indicate or show that one is not willing to do something.,অস্বীকার করা / প্রত্যাখ্যান করা,She refused to answer the question.,A person crossing their arms firmly and shaking their head.,"refuse to accept, politely refuse",
"regard (v.), (n.) ",rɪˈɡɑːd/ রিগার্ড/ rih-gahrd,Consider or think of (someone or something) in a specified way.,বিবেচনা করা / সম্মান,He is highly regarded in his profession.,A person looking at another person with deep admiration and respect.,"with regard to, highly regard",
regarding (prep.),rɪˈɡɑːdɪŋ/ রিগার্ডিং/ rih-gahr-ding,In respect of; concerning.,সম্পর্কে / বিষয়ে,I am writing to you regarding your recent application.,An envelope stamped with 'Regarding Your Application'.,"regarding the matter, information regarding",
region (n.),ˈriːdʒən/ রিজিওন/ ree-juhn,"An area or division, especially part of a country or the world having definable characteristics but not always fixed boundaries.",অঞ্চল,This region is known for its wine.,A shaded area on a geographical map highlighting a specific landmass.,"entire region, local region",
regional (adj.),ˈriːdʒənl/ রিজিওনাল/ ree-juh-nuhl,"Of, relating to, or characteristic of a region.",আঞ্চলিক,The country is divided into regional districts.,A map with different distinct colors indicating separate local districts.,"regional manager, regional development",
"register (v.), (n.) ",ˈredʒɪstə(r)/ রেজিস্টার/ rej-ih-ster,Enter or record on an official list or directory.,নিবন্ধন করা / খাতা,You need to register before you can vote.,A person signing their name on an official clipboard document.,"cash register, register for",
"regret (v.), (n.) ",rɪˈɡret/ রিগ্রেট/ rih-gret,"Feel sad, repentant, or disappointed over (something that has happened or been done, especially a loss or missed opportunity).",অনুশোচনা / আক্ষেপ করা,I regret not studying harder.,"A person looking down at the ground with a deeply sad, thoughtful expression.","deeply regret, have no regrets",
regular (adj.),ˈreɡjələ(r)/ রেগুলার/ reg-yuh-ler,"Arranged in or constituting a constant or definite pattern, especially with the same space between individual instances.",নিয়মিত,He makes regular visits to the dentist.,A calendar showing an appointment stamped identically every single month.,"regular basis, regular expression",
regularly (adv.),ˈreɡjələli/ রেগুলারলি/ reg-yuh-ler-lee,"With a constant or definite pattern, especially with the same space between individual instances.",নিয়মিতভাবে,You should exercise regularly.,"A clock and a pair of running shoes, implying a daily routine.","exercise regularly, visit regularly",
regulation (n.),ˌreɡjuˈleɪʃn/ রেগুলেশন/ reg-yuh-lay-shuhn,A rule or directive made and maintained by an authority.,নিয়মকানুন / প্রবিধান,The new regulations will improve safety.,A thick rulebook with 'SAFETY REGULATIONS' printed boldly on the cover.,"rules and regulations, strict regulation",
reject (v.),rɪˈdʒekt/ রিজেক্ট/ rih-jekt,"Dismiss as inadequate, inappropriate, or not to one's taste.",প্রত্যাখ্যান করা / বাতিল করা,They rejected his application.,A large red rubber stamp marking the word 'REJECTED' on a piece of paper.,"firmly reject, completely reject",
relate (v.),rɪˈleɪt/ রিলেট/ rih-layt,Make or show a connection between.,সম্পর্ক স্থাপন করা,It is difficult to relate these two events.,Two jigsaw puzzle pieces being pushed together to show a connection.,"relate to, closely relate",
related (to) (adj.),rɪˈleɪtɪd/ রিলেটেড/ rih-lay-tid,"Belonging to the same family, group, or type; connected.",সম্পর্কিত,Are you related to the manager?,A family tree diagram showing interconnected branches.,"closely related, related to",
relation (n.),rɪˈleɪʃn/ রিলেশন/ rih-lay-shuhn,"The way in which two or more concepts, objects, or people are connected; a thing's effect on or relevance to another.",সম্পর্ক,There is a close relation between diet and health.,A graphic showing an arrow pointing from a bowl of fruit to a glowing healthy heart.,"in relation to, public relations",
relationship (n.),rɪˈleɪʃnʃɪp/ রিলেশনশিপ/ rih-lay-shuhn-ship,"The way in which two or more concepts, objects, or people are connected, or the state of being connected.",সম্পর্ক / আত্মীয়তা,They have a very strong relationship.,"Two hands holding each other tightly, representing a strong bond.","build a relationship, personal relationship",
"relative (adj.), (n.) ",ˈrelətɪv/ রিলেটিভ/ rel-uh-tiv,Considered in relation or in proportion to something else; a person connected by blood or marriage.,আপেক্ষিক / আত্মীয়,All my relatives came to the wedding.,"A large, happy extended family gathered around a dinner table.","close relative, distant relative",
relatively (adv.),ˈrelətɪvli/ রিলেটিভলি/ rel-uh-tiv-lee,"In relation, comparison, or proportion to something else.",তুলনামূলকভাবে,The test was relatively easy.,A scale showing one small weight balancing easily against a larger one.,"relatively low, relatively simple",
relax (v.),rɪˈlæks/ রিল্যাক্স/ rih-laks,Rest or engage in an enjoyable activity so as to become less tired or anxious.,বিশ্রাম নেওয়া / শান্ত হওয়া,I like to relax by reading a book.,A person lounging in a comfortable hammock strung between two palm trees.,"try to relax, completely relax",
relaxed (adj.),rɪˈlækst/ রিল্যাক্সড/ rih-lakst,Free from tension and anxiety.,আরামপ্রদ / শিথিল,He appeared very relaxed before the interview.,A smiling person sitting comfortably in a chair with hands behind their head.,"feel relaxed, relaxed atmosphere",
relaxing (adj.),rɪˈlæksɪŋ/ রিল্যাক্সিং/ rih-lak-sing,Reducing tension or anxiety.,আরামদায়ক,I had a very relaxing massage.,Smooth hot stones placed perfectly on a back during a calm spa session.,"relaxing holiday, highly relaxing",
"release (v.), (n.) ",rɪˈliːs/ রিলিজ/ rih-lees,Allow or enable to escape from confinement; set free.,মুক্তি দেওয়া / প্রকাশ,The band will release a new album soon.,A bird cage with the door open and a white dove flying freely into the sky.,"press release, newly released",
relevant (adj.),ˈreləvənt/ রেলিভ্যান্ট/ rel-uh-vuhnt,Closely connected or appropriate to what is being done or considered.,প্রাসঙ্গিক,Please provide relevant information only.,A magnifying glass focusing directly on a specific puzzle piece that fits perfectly.,"highly relevant, relevant information",
relief (n.),rɪˈliːf/ রিলিফ/ rih-leef,A feeling of reassurance and relaxation following release from anxiety or distress.,স্বস্তি / ত্রাণ,It was a huge relief to pass the exam.,"A person letting out a big sigh, dropping their shoulders in visible comfort.","sigh of relief, pain relief",
religion (n.),rɪˈlɪdʒən/ রিলিজিয়ন/ rih-lij-uhn,"The belief in and worship of a superhuman controlling power, especially a personal God or gods.",ধর্ম,Buddhism is a major world religion.,"A collage showing a cross, a crescent, a star of David, and an Om symbol.","world religion, freedom of religion",
religious (adj.),rɪˈlɪdʒəs/ রিলিজিয়াস/ rih-lij-uhs,Relating to or believing in a religion.,ধার্মিক / ধর্মীয়,They had a traditional religious wedding.,"A beautiful stained-glass window inside an old, grand cathedral.","religious beliefs, highly religious",
rely on (v.),rɪˈlaɪ ɒn/ রিলাই অন/ rih-lie on,Depend on with full trust or confidence.,নির্ভর করা,You can always rely on me.,A strong hand firmly clasping another hand tightly for support.,"heavily rely on, reliable",
remain (v.),rɪˈmeɪn/ রিমেইন/ rih-mayn,"Continue to exist, especially after other similar people or things have ceased to do so.",অবশিষ্ট থাকা / থাকা,Only a few tickets remain.,Three glowing concert tickets left lying on a dark table.,"remain calm, remain silent",
remaining (adj.),rɪˈmeɪnɪŋ/ রিমেইনিং/ rih-may-ning,"Still existing, happening, or to be dealt with.",অবশিষ্ট,Mix in the remaining ingredients.,The very last piece of a jigsaw puzzle waiting to be placed into the final hole.,"remaining balance, few remaining",
remains (n.),rɪˈmeɪnz/ রিমেইনস/ rih-maynz,"The parts left over after other parts have been removed, used, or destroyed.",ধ্বংসাবশেষ / দেহাবশেষ,They visited the remains of an ancient Roman temple.,"Ancient, weathered stone pillars standing alone in a grassy field.","human remains, ancient remains",
"remark (n.), (v.) ",rɪˈmɑːk/ রিমার্ক/ rih-mahrk,Say something as a comment; mention.,মন্তব্য / মন্তব্য করা,He made a rude remark.,A speech bubble containing an exclamation mark hovering next to a person's mouth.,"make a remark, passing remark",
remarkable (adj.),rɪˈmɑːkəbl/ রিমার্কেবল/ rih-mahr-kuh-buhl,Worthy of attention; striking.,অসাধারণ / লক্ষণীয়,It was a remarkable achievement.,"A brilliant, glowing star that completely outshines the other stars around it.","truly remarkable, remarkable recovery",
remarkably (adv.),rɪˈmɑːkəbli/ রিমার্কেব্লি/ rih-mahr-kuh-blee,In a way that is worthy of attention; strikingly.,আশ্চর্যজনকভাবে / লক্ষণীয়ভাবে,She played the piano remarkably well.,A person hitting a bullseye perfectly from a very long distance.,"remarkably similar, remarkably well",
remember (v.),rɪˈmembə(r)/ রিমেম্বার/ rih-mem-ber,Have in or be able to bring to one's mind an awareness of (someone or something from the past).,মনে রাখা / স্মরণ করা,Do you remember me?,A lightbulb switching on inside a glowing brain outline.,"clearly remember, fail to remember",
remind (v.),rɪˈmaɪnd/ রিমাইন্ড/ rih-mind,Cause (someone) to remember someone or something.,মনে করিয়ে দেওয়া,Please remind me to call him.,A red string tied neatly around an index finger to act as a memory aid.,"remind someone of, gently remind",
remote (adj.),rɪˈməʊt/ রিমোট/ rih-moht,Situated far from the main centres of population; distant.,দূরবর্তী / রিমোট,They live in a remote mountain village.,"A small, solitary cabin nestled high up in a very snowy, distant mountain range.","remote control, remote area",
removal (n.),rɪˈmuːvl/ রিমুভাল/ rih-moo-vuhl,The action of taking away or abolishing something unwanted.,অপসারণ,The removal of the old bridge took weeks.,A large yellow crane carefully lifting a giant stone block away.,"hair removal, snow removal",
remove (v.),rɪˈmuːv/ রিমুভ/ rih-moov,Take (something) away or off from the position occupied.,সরিয়ে ফেলা,Please remove your shoes before entering.,A pair of shoes sitting neatly outside a front door.,"completely remove, remove from",
"rent (n.), (v.) ",rent/ রেন্ট/ rent,"A tenant's regular payment to a landlord for the use of property or land; pay someone for the use of (something, typically property, land, or a car).",ভাড়া / ভাড়া দেওয়া,We rent our house.,A 'For Rent' sign hammered into the front lawn of a cozy house.,"pay rent, rent a car",
rented (adj.),ˈrentɪd/ রেন্টেড/ ren-tid,Kept or used in return for payment.,ভাড়াকৃত,They live in a rented apartment.,A set of apartment keys handed over with a signed lease agreement.,"rented accommodation, rented house",
"repair (v.), (n.) ",rɪˈpeə(r)/ রিপেয়ার/ rih-pair,"Restore (something damaged, faulty, or worn) to a good condition.",মেরামত করা / মেরামত,He knows how to repair cars.,"A mechanic holding a wrench, working diligently under the hood of a car.","repair work, beyond repair",
repeat (v.),rɪˈpiːt/ রিপিট/ rih-peet,Say or do again.,পুনরাবৃত্তি করা,Could you please repeat that?,A circular 'reload' or 'loop' arrow symbol glowing on a screen.,"repeat after me, history repeats",
repeated (adj.),rɪˈpiːtɪd/ রিপিটেড/ rih-pee-tid,Done or occurring again several times in the same way.,বারবার / পুনরাবৃত্ত,"Despite repeated warnings, he did it again.",A rubber stamp stamping the word 'WARNING' multiple times on a page.,"repeated attempts, repeated warnings",
repeatedly (adv.),rɪˈpiːtɪdli/ রিপিটেডলি/ rih-pee-tid-lee,Over and over again; constantly.,বারবার,He called her repeatedly.,A smartphone screen showing a long list of missed calls from the same person.,"ask repeatedly, strike repeatedly",
replace (v.),rɪˈpleɪs/ রিপ্লেস/ rih-plays,Take the place of.,প্রতিস্থাপন করা,We need to replace the broken window.,"A shiny, brand new gear being placed into an old machine to replace a broken one.","replace with, easily replaced",
"reply (n.), (v.) ",rɪˈplaɪ/ রিপ্লাই/ rih-ply,Say or write something to answer a question or statement.,উত্তর / উত্তর দেওয়া,I am waiting for his reply.,"An envelope opening up with an arrow swooping out, indicating a response.","in reply to, prompt reply",
"report (v.), (n.) ",rɪˈpɔːt/ রিপোর্ট/ rih-port,"Give a spoken or written account of something that one has observed, heard, done, or investigated.",প্রতিবেদন / রিপোর্ট করা,He wrote a detailed report on the project.,A formal document in a binder titled 'Annual Report' with a bar chart.,"write a report, news report",
represent (v.),ˌreprɪˈzent/ রিপ্রেজেন্ট/ rep-rih-zent,"Be entitled or appointed to act or speak for (someone), especially in an official capacity.",প্রতিনিধিত্ব করা,She will represent her country in the Olympics.,An athlete proudly holding up their country's flag.,"officially represent, adequately represent",
"representative (n.), (adj.) ",ˌreprɪˈzentətɪv/ রিপ্রেজেন্টেটিভ/ rep-rih-zen-tuh-tiv,A person chosen or appointed to act or speak for another or others.,প্রতিনিধি,He is a sales representative.,A sharply dressed person holding a briefcase and extending a hand to greet.,"sales representative, legal representative",
reproduce (v.),ˌriːprəˈdjuːs/ রিপ্রোডিউস/ ree-pruh-dyoos,Produce a copy or representation of; (of an organism) produce offspring.,পুনরুৎপাদন করা,Turtles return to the beach to reproduce.,"A tiny, newly hatched baby sea turtle crawling on the sand next to its egg.","reproduce exactly, difficult to reproduce",
reputation (n.),ˌrepjuˈteɪʃn/ রেপুটেশন/ rep-yuh-tay-shuhn,The beliefs or opinions that are generally held about someone or something.,সুনাম / খ্যাতি,The restaurant has a good reputation.,A glowing five-star review badge next to a restaurant storefront.,"good reputation, ruin a reputation",
"request (n.), (v.) ",rɪˈkwest/ রিকোয়েস্ট/ rih-kwest,An act of asking politely or formally for something.,অনুরোধ / অনুরোধ করা,He made a request for more information.,"A formal letter held by two hands, titled 'Official Request'.","make a request, upon request",
require (v.),rɪˈkwaɪə(r)/ রিকোয়ার/ rih-kwy-er,Need for a particular purpose.,প্রয়োজন হওয়া,This job requires a lot of patience.,"A puzzle board with a very specifically shaped piece missing, indicating a need.","urgently require, legally required",
requirement (n.),rɪˈkwaɪəmənt/ রিকোয়ারমেন্ট/ rih-kwy-er-muhnt,A thing that is needed or wanted.,প্রয়োজনীয়তা / শর্ত,A degree is a requirement for this position.,A clipboard with a bold red 'REQUIRED' stamp over a checklist.,"meet the requirements, basic requirement",
"rescue (v.), (n.) ",ˈreskjuː/ রেসকিউ/ res-kyoo,Save (someone) from a dangerous or difficult situation.,উদ্ধার করা / উদ্ধার,The firefighters rescued the cat from the tree.,A heroic firefighter carrying a small kitten down a tall ladder.,"come to the rescue, rescue operation",
research (n.),rɪˈsɜːtʃ/ রিসার্চ/ rih-surch,The systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions.,গবেষণা,She is doing research on cancer.,A glowing double helix DNA strand being examined under a powerful microscope.,"do research, scientific research",
reservation (n.),ˌrezəˈveɪʃn/ রিজার্ভেশন/ rez-er-vay-shuhn,"An arrangement whereby something, especially a seat or room, is booked or reserved for a particular person.",সংরক্ষণ (বুকিং),I have a reservation at the hotel.,"A restaurant table with a fancy, folded card reading 'Reserved'.","make a reservation, have a reservation",
"reserve (v.), (n.) ",rɪˈzɜːv/ রিজার্ভ/ rih-zurv,Retain for future use; a supply of a commodity not needed for immediate use but available if required.,সংরক্ষণ করা / সঞ্চয়,I called the restaurant to reserve a table.,"A golden lock securing a highly prized, glowing chest for future use.","reserve the right, nature reserve",
"resident (n.), (adj.) ",ˈrezɪdənt/ রেসিডেন্ট/ rez-ih-duhnt,A person who lives somewhere permanently or on a long-term basis.,বাসিন্দা,He is a resident of New York.,"A person waving from the front porch of their very own, cozy house.","local resident, permanent resident",
resist (v.),rɪˈzɪst/ রেজিস্ট/ rih-zist,Withstand the action or effect of.,প্রতিরোধ করা,He couldn't resist eating the cake.,A person pushing away a slice of chocolate cake with an agonizing facial expression.,"hard to resist, strongly resist",
resistance (n.),rɪˈzɪstəns/ রেজিস্ট্যান্স/ rih-zis-tuhns,The refusal to accept or comply with something; the attempt to prevent something by action or argument.,প্রতিরোধ,There was a lot of resistance to the new plan.,A strong stone wall stopping the flow of a rushing river.,"meet resistance, path of least resistance",
resolve (v.),rɪˈzɒlv/ রিজলভ/ rih-zolv,"Settle or find a solution to (a problem, dispute, or contentious matter).",সমাধান করা / সংকল্প করা,They managed to resolve their differences.,"Two opposing puzzle pieces clicking together perfectly, ending a conflict.","resolve a conflict, resolve an issue",
resort (n.),rɪˈzɔːt/ রিসোর্ট/ rih-zort,A place that is frequented for holidays or recreation or for a particular purpose.,আশ্রয় / অবকাশ যাপন কেন্দ্র,We stayed at a luxury beach resort.,"A stunning, luxurious tropical beach resort with palm trees and a pool.","holiday resort, last resort",
resource (n.),rɪˈsɔːs/ রিসোর্স/ rih-sors,"A stock or supply of money, materials, staff, and other assets that can be drawn on by a person or organization in order to function effectively.",সম্পদ,Water is our most precious natural resource.,A pair of hands gently holding a small globe with flowing water and green leaves.,"natural resource, human resources",
"respect (n.), (v.) ",rɪˈspekt/ রেসপেক্ট/ rih-spekt,"A feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements.",সম্মান / সম্মান করা,I have a lot of respect for my teachers.,A young person bowing slightly to an elder in a gesture of deep honor.,"show respect, mutual respect",
respond (v.),rɪˈspɒnd/ রেসপন্ড/ rih-spond,Say or do something in reply.,সাড়া দেওয়া / উত্তর দেওয়া,She didn't respond to my message.,A smartphone screen showing a text message bubble with three typing dots.,"respond quickly, fail to respond",
response (n.),rɪˈspɒns/ রেসপন্স/ rih-spons,A verbal or written answer.,প্রতিক্রিয়া / উত্তর,I am waiting for his response.,An open envelope with a letter inside indicating an answered request.,"positive response, quick response",
responsibility (n.),rɪˌspɒnsəˈbɪləti/ রেসপনসিবিলিটি/ rih-spon-suh-bil-ih-tee,The state or fact of having a duty to deal with something or of having control over someone.,দায়িত্ব,It is your responsibility to clean your room.,"A person balancing a large, glowing, heavy orb on their shoulders.","take responsibility, sense of responsibility",
responsible (adj.),rɪˈspɒnsəbl/ রেসপনসিবল/ rih-spon-suh-buhl,"Having an obligation to do something, or having control over or care for someone, as part of one's job or role.",দায়ী / দায়িত্বশীল,Who is responsible for this mess?,"A stern finger pointing directly forward, asking for accountability.","hold responsible, highly responsible",
"rest (n.), (v.) ",rest/ রেস্ট/ rest,"Cease work or movement in order to relax, sleep, or recover strength.",বিশ্রাম / বাকি অংশ,You need to get some rest.,A person sleeping peacefully in a comfortable bed under warm light.,"get some rest, the rest of",
restaurant (n.),ˈrestrɒnt/ রেস্টুরেন্ট/ res-tuh-ront,A place where people pay to sit and eat meals that are cooked and served on the premises.,রেস্তোরাঁ,We had dinner at an Italian restaurant.,"A cozy, dimly lit Italian restaurant with a candlelit table setup.","local restaurant, Italian restaurant",
restore (v.),rɪˈstɔː(r)/ রিস্টোর/ rih-stor,"Bring back or re-establish (a previous right, practice, or situation).",পুনরুদ্ধার করা,The government is trying to restore public confidence.,A team carefully fixing a broken antique vase to look brand new.,"restore confidence, successfully restore",
restrict (v.),rɪˈstrɪkt/ রেস্ট্রিক্ট/ rih-strikt,Put a limit on; keep under control.,সীমাবদ্ধ করা,They passed a law to restrict the sale of firearms.,"A lock placed on a speed limit sign, symbolizing a limit being enforced.","severely restrict, restrict access",
restricted (adj.),rɪˈstrɪktɪd/ রেস্ট্রিক্টেড/ rih-strik-tid,"Limited in extent, number, scope, or action.",সীমাবদ্ধ,This is a highly restricted area.,A bold red 'Restricted Area' sign on a chain-link fence.,"restricted access, highly restricted",
restriction (n.),rɪˈstrɪkʃn/ রেস্ট্রিকশন/ rih-strik-shuhn,"A limiting condition or measure, especially a legal one.",বিধিনিষেধ,There are restrictions on how much luggage you can carry.,A scale with an overly heavy suitcase being flagged with a red cross.,"lift a restriction, impose restrictions",
"result (n.), (v.) ",rɪˈzʌlt/ রেজাল্ট/ rih-zuhlt,A thing that is caused or produced by something else; a consequence or outcome.,ফলাফল / ফলে ঘটা,The crash was the result of a mistake.,A bright A+ marked on an exam paper showing a great result.,"final result, as a result",
retain (v.),rɪˈteɪn/ রিটেইন/ rih-tayn,Continue to have something; keep possession of.,ধরে রাখা,He struggled to retain his balance.,"A person standing on one foot, holding a balancing pole on a tightrope.","retain control, retain heat",
retire (v.),rɪˈtaɪə(r)/ রিটায়ার/ rih-ty-er,"Leave one's job and cease to work, typically upon reaching the normal age for leaving employment.",অবসর গ্রহণ করা,He plans to retire at the age of 65.,An older person happily resting in a hammock on a tropical beach.,"retire from, early to retire",
retired (adj.),rɪˈtaɪəd/ রিটায়ার্ড/ rih-ty-erd,Having left one's job and ceased to work.,অবসরপ্রাপ্ত,He is a retired police officer.,An older man in casual clothes looking fondly at his old police badge.,"retired teacher, newly retired",
