Type,Phrase,Pronunciation,Sounds_Like,Bangla_Pronunciation,Meaning,Bangla_Meaning,Collocations,Bangla Collocation,Synonyms,Antonyms,CEFR_Level,Learner_Sublist,example sentence,Bangla example sentence,image prompt related to the example sentence,example sentence (3 sentences in an array)
Phrasal Verb,break down,/breɪk daʊn/,BRAYK DOWN,ব্রেইক ডাউন,To stop functioning; to analyze in detail,কাজ করা বন্ধ করা; বিশ্লেষণ করা মধ্যে বিস্তারিত,"[{""phrase"": ""break down a problem"", ""example_sentence"": ""You can break down a problem in everyday situations.""}, {""phrase"": ""break down the costs"", ""example_sentence"": ""Workers often break down the costs during a busy day.""}, {""phrase"": ""break down the process"", ""example_sentence"": ""Students should learn to break down the process when it is useful.""}]","[{""phrase"": ""একটি সমস্যা কাজ করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমস্যা কাজ করা বন্ধ করা অনুশীলন করে।""}, {""phrase"": ""খরচগুলো কাজ করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে খরচগুলো কাজ করা বন্ধ করা অনুশীলন করে।""}, {""phrase"": ""প্রক্রিয়াটি কাজ করা বন্ধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রক্রিয়াটি কাজ করা বন্ধ করা অনুশীলন করে।""}]",stop working; fail; analyze in detail,function properly; work; combine; summarize,A2,"07 - Problems, Difficulty & Risk","At her desk, Nora had to break down why the printer kept stopping before the report was due.","নিজের ডেস্কে, নোরাকে রিপোর্ট জমা দেওয়ার আগে প্রিন্টারটি কেন বারবার বন্ধ হচ্ছিল কাজ করা বন্ধ করা বা বিশ্লেষণ করা মধ্যে বিস্তারিত প্রয়োজন হয়েছিল।","office desk with computer, stopped printer, young professional thinking and checking documents. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Ben tried to break down the last question alone."", ""We need to break down why the app keeps freezing."", ""Sara could not break down the map until sunset.""]"
Phrasal Verb,turn out,/tɝn aʊt/,TURN out,টার্ন আউট,To result in a particular way; to appear or attend,নির্দিষ্টভাবে ফলাফল হওয়া; উপস্থিত হওয়া বা অংশ নেওয়া,"[{""phrase"": ""turn out on time"", ""example_sentence"": ""The team tried to turn out on time so the schedule stayed clear.""}, {""phrase"": ""turn out during the project"", ""example_sentence"": ""Things may turn out during the project when the workload increases.""}, {""phrase"": ""turn out without delay"", ""example_sentence"": ""Everyone was ready to turn out without delay after the announcement.""}]","[{""phrase"": ""সময়মতো নির্দিষ্টভাবে ফলাফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো নির্দিষ্টভাবে ফলাফল হওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে নির্দিষ্টভাবে ফলাফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে নির্দিষ্টভাবে ফলাফল হওয়া অনুশীলন করে।""}, {""phrase"": ""দেরি না করে নির্দিষ্টভাবে ফলাফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে নির্দিষ্টভাবে ফলাফল হওয়া অনুশীলন করে।""}]",result; prove to be; appear; attend; produce,fail to happen; disappear; stay away; withhold,A2,"06 - Progress, Success & Results","After school, Ben had to turn out.","স্কুলের পর, বেনকে নির্দিষ্টভাবে ফলাফল হওয়া বা উপস্থিত হওয়া বা অংশ নেওয়া প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Sara had to turn out before lunch."", ""We decided to turn out during the meeting."", ""They want to turn out this week.""]"
Phrasal Verb,find out,/faɪnd aʊt/,FIND out,ফাইন্ড আউট,To discover or learn information,তথ্য আবিষ্কার করা বা জানা,"[{""phrase"": ""find out the truth"", ""example_sentence"": ""You can find out the truth in everyday situations.""}, {""phrase"": ""find out more information"", ""example_sentence"": ""Workers often find out more information during a busy day.""}, {""phrase"": ""find out the reason"", ""example_sentence"": ""Students should learn to find out the reason when it is useful.""}]","[{""phrase"": ""truth তথ্য আবিষ্কার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে truth তথ্য আবিষ্কার করা অনুশীলন করে।""}, {""phrase"": ""more তথ্য তথ্য আবিষ্কার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে more তথ্য তথ্য আবিষ্কার করা অনুশীলন করে।""}, {""phrase"": ""reason তথ্য আবিষ্কার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে reason তথ্য আবিষ্কার করা অনুশীলন করে।""}]",discover; learn; uncover; determine,remain unaware; ignore; overlook,A2,"02 - Thinking, Learning & Understanding","After the news spread, Sara had to find out.","খবরটি ছড়িয়ে পড়ার পর, সারাকে তথ্য আবিষ্কার করা বা জানা প্রয়োজন হয়েছিল।","people discussing information in a realistic office or school hallway. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please find out with me after the call."", ""Leo tried to find out before rumors spread."", ""The update helped everyone find out.""]"
Phrasal Verb,point out,/pɔɪnt aʊt/,POINT out,পয়েন্ট আউট,To draw attention to something,কোনো বিষয়ের দিকে মনোযোগ আকর্ষণ করা,"[{""phrase"": ""point out a mistake"", ""example_sentence"": ""You can point out a mistake in everyday situations.""}, {""phrase"": ""point out the main problem"", ""example_sentence"": ""Workers often point out the main problem during a busy day.""}, {""phrase"": ""point out an important detail"", ""example_sentence"": ""Students should learn to point out an important detail when it is useful.""}]","[{""phrase"": ""একটি ভুল বিষয়ের দিকে মনোযোগ আকর্ষণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি ভুল বিষয়ের দিকে মনোযোগ আকর্ষণ করা অনুশীলন করে।""}, {""phrase"": ""main সমস্যা বিষয়ের দিকে মনোযোগ আকর্ষণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে main সমস্যা বিষয়ের দিকে মনোযোগ আকর্ষণ করা অনুশীলন করে।""}, {""phrase"": ""একটি important detail বিষয়ের দিকে মনোযোগ আকর্ষণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি important detail বিষয়ের দিকে মনোযোগ আকর্ষণ করা অনুশীলন করে।""}]",indicate; highlight; draw attention to; mention,hide; ignore; fail to mention,A2,01 - Communication & Discussion,"During the meeting, Leo pointed out the missing date on the final schedule.","মিটিংয়ের সময়, লিও কোনো বিষয়ের দিকে মনোযোগ আকর্ষণ করা করেছিল।","Meeting room with a participant indicating a missing date on a printed schedule, realistic office scene.","[""Please point out any spelling mistakes you see."", ""The doctor pointed out one small change in the scan."", ""She politely pointed out the broken handle on the door.""]"
Phrasal Verb,work out,/wɝk aʊt/,WERK out,ওয়ার্ক আউট,To exercise; to solve a problem; to happen successfully,ব্যায়াম করা; সমাধান করা সমস্যা; ঘটা সফলভাবে,"[{""phrase"": ""work out a solution"", ""example_sentence"": ""You can work out a solution in everyday situations.""}, {""phrase"": ""work out the details"", ""example_sentence"": ""Workers often work out the details during a busy day.""}, {""phrase"": ""work out a schedule"", ""example_sentence"": ""Students should learn to work out a schedule when it is useful.""}]","[{""phrase"": ""একটি সমাধান ব্যায়াম করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমাধান ব্যায়াম করা অনুশীলন করে।""}, {""phrase"": ""বিস্তারিত বিষয়গুলো ব্যায়াম করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে বিস্তারিত বিষয়গুলো ব্যায়াম করা অনুশীলন করে।""}, {""phrase"": ""একটি সময়সূচি ব্যায়াম করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সময়সূচি ব্যায়াম করা অনুশীলন করে।""}]",exercise; solve; succeed; happen successfully,rest; fail; remain unsolved; go badly,A2,"02 - Thinking, Learning & Understanding","In the library, Maya had to work out the last math problem before the study group ended.","লাইব্রেরিতে, মায়াকে স্টাডি গ্রুপ শেষ হওয়ার আগে শেষ গণিত সমস্যাটি ব্যায়াম করা বা সমাধান করা সমস্যা বা ঘটা সফলভাবে প্রয়োজন হয়েছিল।","quiet library table with books, notebook, calculator, student concentrating. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""David tried to work out the last question alone."", ""We need to work out why the app keeps freezing."", ""Ivy could not work out the map until sunset.""]"
Phrasal Verb,look up,/lʊk ʌp/,LOOK up,লুক আপ,To search for information; to improve,তথ্য খোঁজা; উন্নতি করা,"[{""phrase"": ""look up a word"", ""example_sentence"": ""You can look up a word in everyday situations.""}, {""phrase"": ""look up the address"", ""example_sentence"": ""Workers often look up the address during a busy day.""}, {""phrase"": ""look up the answer"", ""example_sentence"": ""Students should learn to look up the answer when it is useful.""}]","[{""phrase"": ""একটি word উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি word উন্নতি করা অনুশীলন করে।""}, {""phrase"": ""ঠিকানাটি উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ঠিকানাটি উন্নতি করা অনুশীলন করে।""}, {""phrase"": ""উত্তরটি উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে উত্তরটি উন্নতি করা অনুশীলন করে।""}]",search for; check; improve; get better,ignore; overlook; decline; get worse,A2,"02 - Thinking, Learning & Understanding","After the news spread, David had to look up.","খবরটি ছড়িয়ে পড়ার পর, ডেভিডকে তথ্য খোঁজা বা উন্নতি করা প্রয়োজন হয়েছিল।","people discussing information in a realistic office or school hallway. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please look up with me after the call."", ""Ivy tried to look up before rumors spread."", ""The update helped everyone look up.""]"
Phrasal Verb,pick up,/pɪk ʌp/,PICK up,পিক আপ,To collect someone; to learn informally; to improve,কাউকে নিয়ে আসা; শেখা অনানুষ্ঠানিকভাবে; উন্নতি করা,"[{""phrase"": ""pick up new skills"", ""example_sentence"": ""You can pick up new skills in everyday situations.""}, {""phrase"": ""pick up the package"", ""example_sentence"": ""Workers often pick up the package during a busy day.""}, {""phrase"": ""pick up a friend"", ""example_sentence"": ""Students should learn to pick up a friend when it is useful.""}]","[{""phrase"": ""নতুন skills উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে নতুন skills উন্নতি করা অনুশীলন করে।""}, {""phrase"": ""প্যাকেজ উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্যাকেজ উন্নতি করা অনুশীলন করে।""}, {""phrase"": ""একজন বন্ধু উন্নতি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একজন বন্ধু উন্নতি করা অনুশীলন করে।""}]",collect; learn; acquire; improve,drop off; lose; forget; decline,A2,"10 - Money, Business, Technology & Movement",Dad planned to pick up Nora after basketball practice.,বাবা বাস্কেটবল অনুশীলনের পর নোরাকে নিয়ে আসার পরিকল্পনা করেছিলেন।,"Parent waiting outside a school gym to pick up a child after practice, evening light, realistic family scene.","[""Can you pick up some milk on the way home?"", ""She picked up a few Spanish words at work."", ""I will pick you up at the station at six.""]"
Phrasal Verb,run into,/rʌn ɪntu/,RUN in-too,রান ইনটু,To meet someone unexpectedly; to encounter a problem,হঠাৎ কারও সঙ্গে দেখা হওয়া; সম্মুখীন হওয়া সমস্যা,"[{""phrase"": ""run into a problem"", ""example_sentence"": ""You can run into a problem in everyday situations.""}, {""phrase"": ""run into an old friend"", ""example_sentence"": ""Workers often run into an old friend during a busy day.""}, {""phrase"": ""run into unexpected delays"", ""example_sentence"": ""Students should learn to run into unexpected delays when it is useful.""}]","[{""phrase"": ""একটি সমস্যা হঠাৎ কারও সঙ্গে দেখা হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমস্যা হঠাৎ কারও সঙ্গে দেখা হওয়া অনুশীলন করে।""}, {""phrase"": ""একটি পুরোনো বন্ধু হঠাৎ কারও সঙ্গে দেখা হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি পুরোনো বন্ধু হঠাৎ কারও সঙ্গে দেখা হওয়া অনুশীলন করে।""}, {""phrase"": ""unexpected delays হঠাৎ কারও সঙ্গে দেখা হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে unexpected delays হঠাৎ কারও সঙ্গে দেখা হওয়া অনুশীলন করে।""}]",meet unexpectedly; encounter; come across,avoid; miss; steer clear of,A2,"07 - Problems, Difficulty & Risk","After school, Ryan had to run into.","স্কুলের পর, রায়ানকে হঠাৎ কারও সঙ্গে দেখা হওয়া বা সম্মুখীন হওয়া সমস্যা প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Julia had to run into before lunch."", ""We decided to run into during the meeting."", ""They want to run into this week.""]"
Phrasal Verb,go ahead,/ɡoʊ əhɛd/,GOH uh-HED,গো আহেড,To proceed with something,কোনো কাজ এগিয়ে নেওয়া,"[{""phrase"": ""go ahead on time"", ""example_sentence"": ""The team tried to go ahead on time so the schedule stayed clear.""}, {""phrase"": ""go ahead during the project"", ""example_sentence"": ""Things may go ahead during the project when the workload increases.""}, {""phrase"": ""go ahead without delay"", ""example_sentence"": ""Everyone was ready to go ahead without delay after the announcement.""}]","[{""phrase"": ""সময়মতো কাজ এগিয়ে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো কাজ এগিয়ে নেওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে কাজ এগিয়ে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে কাজ এগিয়ে নেওয়া অনুশীলন করে।""}, {""phrase"": ""দেরি না করে কাজ এগিয়ে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে কাজ এগিয়ে নেওয়া অনুশীলন করে।""}]",proceed; continue; start; move forward,stop; pause; cancel; hold back,A2,"05 - Time, Scheduling & Process","After the safety check, the crew went ahead with the repair work.","নিরাপত্তা পরীক্ষা শেষে, the কোনো কাজ এগিয়ে নেওয়া করেছিল।","Work crew beginning repair work after a clear safety check, helmets and tools visible, realistic industrial scene.","[""Please go ahead if everyone is ready."", ""They went ahead with the picnic despite the clouds."", ""We cannot go ahead until the manager signs the form.""]"
Phrasal Verb,take up,/teɪk ʌp/,TAYK up,টেইক আপ,To start a new hobby or activity; to occupy space or time,নতুন শখ বা কাজ শুরু করা; জায়গা বা সময় দখল করা,"[{""phrase"": ""take up a hobby"", ""example_sentence"": ""You can take up a hobby in everyday situations.""}, {""phrase"": ""take up too much space"", ""example_sentence"": ""Workers often take up too much space during a busy day.""}, {""phrase"": ""take up a new course"", ""example_sentence"": ""Students should learn to take up a new course when it is useful.""}]","[{""phrase"": ""একটি hobby কাজ শুরু করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি hobby কাজ শুরু করা অনুশীলন করে।""}, {""phrase"": ""too much space কাজ শুরু করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে too much space কাজ শুরু করা অনুশীলন করে।""}, {""phrase"": ""একটি নতুন course কাজ শুরু করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি নতুন course কাজ শুরু করা অনুশীলন করে।""}]",start; begin; occupy; use up space or time,give up; stop; free up space or time,A2,"05 - Time, Scheduling & Process","Last spring, Aisha decided to take up yoga after work.","গত বসন্তে, আইশা কাজের পর যোগব্যায়াম নতুন শখ বা কাজ শুরু করা বা জায়গা বা সময় দখল করার সিদ্ধান্ত নিয়েছিল।","Young woman starting yoga in a bright studio after work, mat and water bottle visible, realistic lifestyle photography.","[""He wants to take up photography this summer."", ""The big sofa takes up too much space in the room."", ""She took up painting during the winter break.""]"
