Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
swallow,(v.),"Language of thought, action & change",Action verbs — movement,ˈswɒloʊ/ সোয়ালো/ swol-oh,"Cause or allow (something, especially food or drink) to pass down the throat",গিলে ফেলা,Chew your food well before you swallow.,A person drinking water with a visible gulping motion,"hard to swallow, swallow a pill","ingest, consume, gulp, down","spit out, regurgitate"
bring,(v.),"Language of thought, action & change",Action verbs — movement,brɪŋ/ ব্রিং/ bring,Take or go with (someone or something) to a place,আনা,Please bring me a glass of water.,A friendly waiter carrying a covered silver tray toward the viewer,"bring something, bring along, bring back","carry, transport, fetch, take","take away, remove"
drag,(v.),"Language of thought, action & change",Action verbs — movement,dræɡ/ ড্র্যাগ/ drag,"Pull (someone or something) along forcefully, roughly, or with difficulty",টানা / হেঁচড়ানো,He dragged the heavy box across the floor.,"A person pulling a massive, heavy wooden crate using a rope","drag one's feet, literally drag","pull, haul, tug, draw","push, lift"
fetch,(v.),"Language of thought, action & change",Action verbs — movement,fɛtʃ/ ফেচ/ fech,Go for and then bring back (someone or something),গিয়ে আনা,Fetch me a glass of water.,A dog eagerly running back with a wooden stick in its mouth,"go and fetch, fetch a price","get, bring, retrieve, collect","leave, ignore"
fill,(v.),"Language of thought, action & change",Action verbs — movement,fɪl/ ফিল/ fil,Cause (a space or container) to become full or almost full,পূর্ণ করা / ভরা,Fill the glass with water.,Clear water pouring heavily into a glass until it reaches the brim,"fill up, fill out","load, pack, occupy, replenish","empty, drain"
float,(v.),"Language of thought, action & change",Action verbs — movement,floʊt/ ফ্লোট/ floht,Rest or move on or near the surface of a liquid without sinking,ভাসা,The boat floated gently on the water.,"A small, bright red toy boat bobbing gently on clear blue water","float around, float on water","drift, glide, hover, bob","sink, submerge"
go,(v.),"Language of thought, action & change",Action verbs — movement,ɡoʊ/ গো/ goh,Move from one place to another; travel,যাওয়া,I have to go now.,A green traffic light shining brightly at an intersection,"go home, go to work","leave, travel, proceed, move","come, arrive"
grab,(v.),"Language of thought, action & change",Action verbs — movement,ɡræb/ গ্র্যাব/ grab,Grasp or seize suddenly and roughly,আঁকড়ে ধরা,He grabbed his coat and ran out.,A hand swiftly catching a falling set of keys in mid-air,"grab a bite, grab hold","seize, snatch, take, grasp","release, let go"
hang,(v.),"Language of thought, action & change",Action verbs — movement,hæŋ/ হ্যাং/ hang,Suspend or be suspended from above with the lower part dangling free,ঝোলানো / ঝোলা,Please hang your coat on the hook.,A heavy winter coat hanging securely on a silver hook,"hang up, hang out","suspend, dangle, hook, hold","take down, remove"
hold,"(v.), (n.)","Language of thought, action & change",Action verbs — movement,hoʊld/ হোল্ড/ hohld,"Grasp, carry, or support with one's hands",ধরা,Please hold this bag for me.,"Two hands tightly grasping a thick, heavy climbing rope","hold on, catch hold","grip, grasp, keep, clutch","release, let go"
climb,(v.),"Language of thought, action & change",Action verbs — movement,klaɪm/ ক্লাইম্ব/ klahym,"Go or come up (a slope, incline, or staircase), especially by using the feet and sometimes the hands; ascend",আরোহণ করা,He climbed to the top of the mountain.,"A mountain climber forcefully driving a pickaxe into a steep, snowy cliff face","climb a tree, climb a mountain, climb the stairs","scale, ascend, go up, mount","descend, drop"
crush,(v.),"Language of thought, action & change",Action verbs — movement,krʌʃ/ ক্রাশ/ kruhsh,"Deform, pulverize, or force inwards by compressing forcefully",পিষে ফেলা / চূর্ণ করা,The car was completely crushed in the accident.,"A gigantic, tremendously heavy stone forcefully smashing completely flat an aluminum can","crush underfoot, crush the rebellion, completely crush","squash, press, grind, destroy","release, restore"
come,(v.),"Language of thought, action & change",Action verbs — movement,kʌm/ কাম/ kuhm,Move or travel toward or into a place thought of as near or familiar to the speaker,আসা,Please come here.,"A hand enthusiastically waving its fingers, making a 'come here' motion","come here, come true, come back","arrive, approach, reach, get here","go, leave"
lay,(v.),"Language of thought, action & change",Action verbs — movement,leɪ/ লে/ ley,"Put down, especially gently or carefully.",রাখা / শোয়ানো,Lay the baby in the crib.,A gentle hand carefully placing a delicate glass ornament onto a soft velvet cloth.,"lay down, lay eggs","place, put down, set, position","stand, lift"
lean,(v.),"Language of thought, action & change",Action verbs — movement,liːn/ লীন/ leen,Be in or move into a sloping position.,হেলান দেওয়া,Don't lean against the wet paint.,A person casually leaning their shoulder against a sturdy brick wall.,"lean forward, lean against","tilt, incline, rest against, bend",straighten
leave,(v.),"Language of thought, action & change",Action verbs — movement,liːv/ লিভ/ leev,Go away from.,ত্যাগ করা / চলে যাওয়া,What time do you leave for work?,"A person walking away down a long path, carrying a suitcase.","leave early, leave behind","depart, go, exit, abandon","arrive, stay"
proceed,(v.),"Language of thought, action & change",Action verbs — movement,prəˈsiːd/ প্রসিড/ pruh-seed,Begin a course of action; move forward.,অগ্রসর হওয়া / চালিয়ে যাওয়া,Please proceed to the next room.,"A glowing green sign pointing forward, indicating to continue on a path.","proceed to, proceed with","continue, go on, advance, carry on","stop, halt"
put,(v.),"Language of thought, action & change",Action verbs — movement,pʊt/ পুট/ pʊt,Move to or place in a particular position.,রাখা,Put the book on the table.,A hand gently placing a thick book down onto a clean desk.,"put down, put away","place, set, lay, position","take, remove"
reach,(v.),"Language of thought, action & change",Action verbs — movement,riːtʃ/ রিচ/ reech,Stretch out an arm in a specified direction in order to touch or grasp something.,পৌঁছানো / নাগাল পাওয়া,She couldn't reach the top shelf.,"A hand stretching upwards, trying to grab a book off a high shelf.","reach the top, out of reach","arrive at, get to, extend, attain","miss, fall short"
slide,(v.),"Language of thought, action & change",Action verbs — movement,slaɪd/ স্লাইড/ slahyd,Move along a smooth surface while maintaining continuous contact with it.,পিছলে যাওয়া,The glass slid off the table.,A block of ice sliding smoothly across a wet floor.,"slide down, slide away","slip, glide, skid, move smoothly","stop, grip"
spin,(v.),"Language of thought, action & change",Action verbs — movement,spɪn/ স্পিন/ spin,Turn or cause to turn or whirl around quickly,ঘোরা / ঘোরানো,The earth spins on its axis.,A colorful top spinning rapidly on a wooden floor,"spin around, spin out of control","rotate, turn, revolve, whirl","stop, stabilise"
suck,(v.),"Language of thought, action & change",Action verbs — movement,sʌk/ সাক/ suhk,Draw into the mouth by contracting the muscles of the lip and mouth to make a partial vacuum,চোষা,The baby sucked its thumb.,A person sipping a bright red drink through a straw,"suck a thumb, suck blood","draw in, absorb, pull in, inhale","blow out, push"
sweep,(v.),"Language of thought, action & change",Action verbs — movement,swiːp/ সুইপ/ sweep,Clean (an area) by brushing away dirt or litter,ঝাড়ু দেওয়া,She swept the floor clean.,A traditional wooden broom sweeping dust into a dustpan,"sweep the floor, clean sweep","brush, clean, clear, move swiftly","gather, deposit"
swim,(v.),"Language of thought, action & change",Action verbs — movement,swɪm/ সুইম/ swim,Propel the body through water by using the limbs,সাঁতার কাটা,He loves to swim in the ocean.,A person doing the front crawl stroke in clear blue water,"go for a swim, swim freely","float, paddle, stroke, dive","sink, drown"
take,(v.),"Language of thought, action & change",Action verbs — movement,teɪk/ টেক/ teyk,Lay hold of (something) with one's hands; reach for and hold,নেওয়া,"Take an umbrella, it might rain.",A hand picking up a closed black umbrella from a stand,"take time, take place","grab, carry, receive, obtain","give, return"
unload (opposite = load),(v.),"Language of thought, action & change",Action verbs — movement,ʌnˈloʊd/ আনলোড/ uhn-lohd,"Remove goods from (a vehicle, ship, container, etc.)",মাল নামানো,We helped unload the boxes from the truck.,Workers taking heavy brown boxes off the back of a delivery truck,"unload a truck, safely unload","empty, remove, discharge, offload","load, fill"
attempt,"(n.), (v.)","Language of thought, action & change",Action verbs — creation & use,əˈtempt/ অ্যাটেম্পট / uh-tempt,Try; to try,চেষ্টা / চেষ্টা করা,First attempt.,"Person trying to climb ladder, effort illustration","attempt to, failed attempt, make an attempt, bold attempt","try, effort, endeavour, bid","give up, succeed"
break,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,breɪk/ ব্রেক / brayk,To smash; rest,ভাঙা / বিরতি,Take a break.,"Clock showing break time with coffee, relaxing illustration","break down, coffee break, break the rules, lucky break","crack, shatter, fracture, pause","fix, repair"
cut,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,kʌt/ কাট / kut,To slice; reduction,কাটা / কাট,Cut the paper.,"Scissors cutting paper neatly, precise illustration","cut down, hair cut, short cut, power cut","slice, trim, reduce, wound","join, grow"
finish,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,ˈfɪn.ɪʃ/ ফিনিশ / fin-ish,To complete; end,শেষ করা / শেষ,Finish the race.,"Runner crossing finish line, victory illustration","finish line, finish first, finish up, close finish","complete, end, conclude, stop","start, begin"
fold,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,fəʊld/ ফোল্ড / fohld,To bend paper; crease,ভাঁজ করা / ভাঁজ,Fold the clothes.,"Neatly folded shirts in drawer, tidy illustration","fold up, fold arms, paper fold, mountain fold","crease, bend, overlap, layer","unfold, open"
make,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,meɪk/ মেক / mayk,To create; brand,তৈরি করা / ব্র্যান্ড,Make a cake.,"Baker making fresh cake, creative illustration","make sure, make money, make up, car make","create, produce, build, cause","destroy, break"
own,"(adj.), (pron.), (v.)","Language of thought, action & change",Action verbs — creation & use,əʊn/ ওন / ohn,Belonging to self; to possess,নিজের / মালিকানা,My own car.,"Person proudly standing by their car, ownership illustration","own home, on your own, own up, own goal","personal, possess, have, individual","share, lack"
pay,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,peɪ/ পে / pay,To give money; salary,পেমেন্ট করা / বেতন,Pay the bill.,"Hand paying with money to cashier, transaction illustration","pay back, pay attention, monthly pay, pay day","salary, wage, compensate, settle","receive, owe"
sort,"(n.), (v.)","Language of thought, action & change",Action verbs — creation & use,sɔːt/ সর্ট / sort,Type; to arrange,প্রকার / সাজানো,What sort?,"Sorted colorful items in boxes, organized illustration","sort out, all sorts, sort through, good sort","type, kind, arrange, organise","scatter, mix"
split,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,splɪt/ স্প্লিট / split,To divide; division,ভাগ করা / বিভাগ,Split the bill.,"Cake being split into equal pieces, fair illustration","split up, split second, banana split, split the difference","divide, separate, crack, fracture","join, merge"
squeeze,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,skwiːz/ স্কুইজ / skweez,To press tightly; tight space,চাপ দেওয়া / চাপ,Squeeze the lemon.,"Hand squeezing lemon with juice, fresh illustration","squeeze in, tight squeeze, lemon squeeze, squeeze through","press, compress, hug, push","release, expand"
start,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,stɑːt/ স্টার্ট / start,To begin; beginning,শুরু করা / শুরু,Start the engine.,"Runner at starting line with gun, energetic illustration","start over, fresh start, start up, good start","begin, commence, initiate, onset","finish, end"
study,"(n.), (v.)","Language of thought, action & change",Action verbs — creation & use,ˈstʌd.i/ স্টাডি / stud-ee,Learning; to learn,অধ্যয়ন / পড়াশোনা,Study hard.,"Student studying at desk with books, focused illustration","study room, case study, study for, quick study","learning, research, examine, investigate","ignore, overlook"
use,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,juːz / juːs/ ইউজ / yoos,To employ; purpose,ব্যবহার করা / ব্যবহার,Use the tool.,"Hand using hammer on nail, practical illustration","make use, in use, use up, daily use","utilise, employ, operate, application","discard, misuse"
operate,(v.),"Language of thought, action & change",Action verbs — creation & use,ˈɒpəreɪt/ অপারেট/ op-uh-reyt,"Control the functioning of a machine, process, or system.",চালানো / কাজ করা,He knows how to operate the machinery.,A worker carefully pushing buttons and pulling levers on a complex industrial control panel.,"operate a machine, operate successfully","run, work, use, manage",
fasten,(v.),"Language of thought, action & change",Action verbs — creation & use,ˈfɑːsn/ ফাসেন/ fas-uhn,Close or join securely,আটকে দেওয়া / বাঁধা,Please fasten your seatbelts.,Two hands securely clicking a metal airplane seatbelt buckle together,"fasten securely, fasten your seatbelt","secure, attach, tie, fix","unfasten, undo"
handle,"(v.), (n.)","Language of thought, action & change",Action verbs — creation & use,ˈhændl/ হ্যান্ডেল/ han-dl,Feel or manipulate with the hands; the part by which a thing is held,সামলানো / হাতল,He can handle the pressure well.,A person firmly grasping a heavy wooden tool by its thick handle,"door handle, handle a situation","manage, deal with, grip, knob","drop, mishandle"
payment,(n.),"Language of thought, action & change",Action verbs — creation & use,ˈpeɪmənt/ পেমেন্ট/ pey-muhnt,"The action or process of paying someone or something, or of being paid.",পেমেন্ট / অর্থ প্রদান,They demand immediate payment.,"A person tapping a credit card on a modern, glowing digital payment terminal.","monthly payment, cash payment","fee, charge, transaction, remittance","income, receipt"
combination,(n.),"Language of thought, action & change",Action verbs — creation & use,ˌkɒmbɪˈneɪʃn/ কম্বিনেশন/ kom-buh-ney-shuhn,A joining or merging of different parts or qualities in which the component elements are individually distinct,সমন্বয়,The dish is a delicious combination of sweet and sour flavors.,"A complex, glowing metal safe lock dial being turned to the right number","winning combination, combination of factors, unique combination","mix, blend, union, merger","separation, division"
preparation,(n.),"Language of thought, action & change",Action verbs — creation & use,ˌprɛpəˈreɪʃn/ প্রিপারেশন/ prep-uh-rey-shuhn,The action or process of making ready or being made ready for use or consideration.,প্রস্তুতি,Careful preparation is important for a successful trip.,"A neat desk with an open map, a compass, and a packed travel bag.","in preparation for, careful preparation","readiness, arrangement, setup, planning",neglect
buy,(v.),"Language of thought, action & change",Action verbs — creation & use,baɪ/ বাই/ bahy,Obtain in exchange for payment,কেনা,I want to buy a new phone.,A glowing green dollar sign hovering directly over an open shiny wallet,"buy online, safely buy, decide to buy","purchase, acquire, get, pay for","sell, return"
decide,(v.),"Language of thought, action & change",Action verbs — creation & use,dɪˈsaɪd/ ডিসাইড/ di-sahyd,Come or bring to a resolution in the mind as a result of consideration,সিদ্ধান্ত নেওয়া,I decided to stay home.,A person standing at a fork in a path pointing to one way,"decide to do, finally decide","choose, determine, resolve, opt","hesitate, delay"
destroy,(v.),"Language of thought, action & change",Action verbs — creation & use,dɪˈstrɔɪ/ ডেস্ট্রয়/ di-stroi,Put an end to the existence of (something) by damaging or attacking it,ধ্বংস করা,The fire destroyed the building.,A fierce explosion completely breaking apart a concrete wall,"completely destroy, destroy the evidence","ruin, demolish, break, wreck","create, build"
destruction,(n.),"Language of thought, action & change",Action verbs — creation & use,dɪˈstrʌkʃn/ ডেসট্রাকশন/ di-struhk-shuhn,The action or process of causing so much damage to something that it no longer exists or cannot be repaired,ধ্বংস,The hurricane caused widespread destruction.,A completely leveled city block after a major earthquake,"widespread destruction, massive destruction","ruin, demolition, damage, devastation","creation, building"
join,(v.),"Language of thought, action & change",Action verbs — creation & use,dʒɔɪn/ জয়েন/ join,Link; connect.,যোগদান করা / যুক্ত করা,Will you join us for dinner?,Two jigsaw puzzle pieces perfectly snapping together to complete a picture.,"join a club, join in","connect, link, unite, combine","separate, leave"
apply,(v.),"Language of thought, action & change",Action verbs — creation & use,əˈplaɪ/ অ্যাপ্লাই/ uh-plahy,Make a formal application or request; put into operation or use,আবেদন করা / প্রয়োগ করা,I decided to apply for the job.,A hand signing a sleek document with an elegant pen,"apply for, apply pressure, directly apply","request, submit, use, put in for","withdraw, reject"
arrange,(v.),"Language of thought, action & change",Action verbs — creation & use,əˈreɪndʒ/ অ্যারেঞ্জ/ uh-reynj,"Put (things) in a neat, attractive, or required order",সাজানো / ব্যবস্থা করা,She arranged the flowers in a vase.,A beautifully curated bouquet of flowers perfectly arranged in a glass vase,"arrange a meeting, arrange flowers, neatly arrange","organise, plan, sort, set up","disorganise, scatter"
arrangement,(n.),"Language of thought, action & change",Action verbs — creation & use,əˈreɪndʒmənt/ অ্যারেঞ্জমেন্ট/ uh-reynj-muhnt,"The action, process, or result of arranging or being arranged",ব্যবস্থা,We made an arrangement to meet at 8.,"A neatly organized desk with a planner, pen, and a cup of coffee","make an arrangement, floral arrangement, temporary arrangement","plan, setup, order, organisation","chaos, disorder"
attach,(v.),"Language of thought, action & change",Action verbs — creation & use,əˈtætʃ/ অ্যাটাচ/ uh-tach,Fasten or join one thing to another,সংযুক্ত করা,Please attach the file to your email.,A giant silver paperclip physically clipping two glowing digital files together,"attach a file, securely attach, directly attach","connect, join, fasten, stick","detach, remove"
obtain,(v.),"Language of thought, action & change",Action verbs — creation & use,əbˈteɪn/ অবটেইন/ uhb-teyn,"Get, acquire, or secure (something).",অর্জন করা / পাওয়া,You need a permit to obtain this information.,"A pair of hands formally receiving an official, stamped certificate document.","obtain permission, difficult to obtain","get, acquire, gain, secure","lose, give up"
find out sth,(phr. v.),"Language of thought, action & change",Action verbs — creation & use,faɪnd aʊt/ ফাইন্ড আউট/ fahynd owt,Discover a fact or piece of information,খুঁজে বের করা / আবিষ্কার করা,I need to find out the truth.,"A detective peering closely through a large, glowing magnifying glass","find out why, try to find out","discover, learn, establish, figure out",remain ignorant
find,(v.),"Language of thought, action & change",Action verbs — creation & use,faɪnd/ ফাইন্ড/ fahynd,Discover or perceive by chance or unexpectedly,খুঁজে পাওয়া,I can't find my keys.,A glowing golden key magically appearing from under a dusty rug,"find out, hard to find","discover, locate, come across","lose, miss"
found,(v.),"Language of thought, action & change",Action verbs — creation & use,faʊnd/ ফাউন্ড/ fownd,Establish or originate (an institution or organization),প্রতিষ্ঠা করা / (find এর past tense),The school was founded in 1900.,A person laying the first stone of a large building,"newly found, found a company","establish, create, set up, start","close, dissolve"
give sth out,(phr. v.),"Language of thought, action & change",Action verbs — creation & use,ɡɪv aʊt/ গিভ আউট/ giv owt,Distribute something,বিতরণ করা,The teacher gave out the test papers.,A teacher handing sheets of paper to students in a classroom,"give out leaflets, give out information","distribute, hand out, share, issue","collect, keep"
give (sth) up,(phr. v.),"Language of thought, action & change",Action verbs — creation & use,ɡɪv ʌp/ গিভ আপ/ giv uhp,Cease making an effort; admit defeat,ত্যাগ করা / ছেড়ে দেওয়া,Don't give up on your dreams.,A person dropping a white flag of surrender to the ground,"give up hope, give up smoking","quit, stop, abandon, surrender","keep, continue"
give,(v.),"Language of thought, action & change",Action verbs — creation & use,ɡɪv/ গিভ/ giv,Freely transfer the possession of (something) to (someone),দেওয়া,Can you give me a hand?,One hand handing a glowing bright lightbulb to another hand,"give advice, give a speech","donate, offer, provide, contribute","take, receive"
combine,(v.),"Language of thought, action & change",Action verbs — creation & use,kəmˈbaɪn/ কম্বাইন/ kuhm-bahyn,Unite; merge,যুক্ত করা / একত্রিত করা,Combine the flour and sugar in a bowl.,"Two distinct, glowing colored liquids pouring into one single glass beaker","combine with, successfully combine, combine forces","merge, unite, mix, join","separate, divide"
construct,(v.),"Language of thought, action & change",Action verbs — creation & use,kənˈstrʌkt/ কনস্ট্রাক্ট/ kuhn-struhkt,"Build or erect (something, typically a building, road, or machine)",নির্মাণ করা,They plan to construct a new bridge.,"A glowing blueprint being slowly transformed into a real, solid 3D building","construct a building, newly constructed, carefully construct","build, erect, create, make","destroy, demolish"
make friends (with),(phrase),"Language of thought, action & change",Action verbs — creation & use,meɪk frɛndz/ মেক ফ্রেন্ডস/ meyk frendz,To begin to know and like someone.,বন্ধুত্ব করা,It is easy to make friends here.,Two children happily sharing a toy in a sunny playground.,"easy to make friends, make friends quickly","befriend, get to know, socialise",make enemies
make fun of,(phrase),"Language of thought, action & change",Action verbs — creation & use,meɪk fʌn ɒv/ মেক ফান অফ/ meyk fuhn ov,To mock or ridicule someone or something.,মজা করা / উপহাস করা,It's cruel to make fun of people.,"A group of people laughing and pointing at something, depicting teasing.","don't make fun of, make fun of someone","mock, tease, ridicule, joke about","respect, admire"
make sure,(phrase),"Language of thought, action & change",Action verbs — creation & use,meɪk ʃʊə/ মেক শিওর/ meyk shoor,Establish that something is definitely so; confirm.,নিশ্চিত করা,Make sure you lock the door.,A hand double-checking a padlock to ensure it is securely locked.,"make sure that, just to make sure","ensure, confirm, verify, double-check","ignore, neglect"
make sth up,(phr. v.),"Language of thought, action & change",Action verbs — creation & use,meɪk ʌp/ মেক আপ/ meyk uhp,"Invent a story or plan, usually to deceive.",বানানো (গল্প বা অজুহাত),He had to make up an excuse.,A person with a thought bubble showing a completely impossible flying pig.,"make up a story, make up an excuse","invent, fabricate, create, pretend",tell the truth
mid- combining form,(prefix),"Language of thought, action & change",Action verbs — creation & use,mɪd/ মিড/ mid,Middle.,মধ্য-,He is in his mid-twenties.,A timeline line with a bright glowing dot placed exactly in the middle.,"mid-air, mid-morning","central, middle, midway","outer, extreme"
pick sth up,(phr. v.),"Language of thought, action & change",Action verbs — creation & use,pɪk ʌp/ পিক আপ/ pik uhp,To lift something or someone by using your hands.,তুলে নেওয়া,Please pick up the trash.,A person bending down to lift a dropped pen off the floor.,"pick up the phone, pick up a language","collect, gather, lift, learn","put down, drop"
pick,(v.),"Language of thought, action & change",Action verbs — creation & use,pɪk/ পিক/ pik,"Take hold of and remove (a flower, fruit, or vegetable) from where it is growing; choose from a group.",তোলা / বেছে নেওয়া,We went to pick some fresh apples.,"A hand reaching up to pluck a ripe, red apple directly from a tree branch.","pick up, pick a number","choose, select, gather, pluck","reject, leave"
prepare,(v.),"Language of thought, action & change",Action verbs — creation & use,prɪˈpɛə/ প্রিপেয়ার/ pri-pair,Make (something) ready for use or consideration.,প্রস্তুত করা,I need to prepare for my exam.,"A student organizing a desk with books, pens, and a study lamp.","prepare a meal, prepare for","get ready, arrange, plan, make","neglect, improvise"
remove,(v.),"Language of thought, action & change",Action verbs — creation & use,rɪˈmuːv/ রিমুভ/ rih-moov,Take (something) away or off from the position occupied.,সরিয়ে ফেলা,Please remove your shoes before entering.,A pair of shoes sitting neatly outside a front door.,"completely remove, remove from","take away, eliminate, delete, extract","add, include"
removal,(n.),"Language of thought, action & change",Action verbs — creation & use,rɪˈmuːvl/ রিমুভাল/ rih-moo-vuhl,The action of taking away or abolishing something unwanted.,অপসারণ,The removal of the old bridge took weeks.,A large yellow crane carefully lifting a giant stone block away.,"hair removal, snow removal","taking away, elimination, extraction, deletion","addition, inclusion"
retain,(v.),"Language of thought, action & change",Action verbs — creation & use,rɪˈteɪn/ রিটেইন/ rih-tayn,Continue to have something; keep possession of.,ধরে রাখা,He struggled to retain his balance.,"A person standing on one foot, holding a balancing pole on a tightrope.","retain control, retain heat","keep, hold, maintain, preserve","lose, release"
rub,(v.),"Language of thought, action & change",Action verbs — creation & use,rʌb/ রাব/ ruhb,"Apply firm pressure to the surface of (something), using a repeated back and forth motion.",ঘষা,He rubbed his eyes because he was tired.,A person using their hands to rub their tired eyes in the morning.,"rub your eyes, rub together","scrub, clean, smooth, polish","leave, roughen"
save,(v.),"Language of thought, action & change",Action verbs — creation & use,seɪv/ সেভ/ sayv,"Keep safe or rescue (someone or something) from harm or danger; keep and store up (something, especially money) for future use.",রক্ষা করা / জমানো,He managed to save a lot of money.,A shiny porcelain piggy bank with a bright gold coin dropping into it.,"save money, save someone's life","keep, store, rescue, preserve","waste, spend"
sell,(v.),"Language of thought, action & change",Action verbs — creation & use,sel/ সেল/ sel,Give or hand over (something) in exchange for money.,বিক্রি করা,I want to sell my old car.,A person handing over car keys to another person in exchange for money.,"buy and sell, sell out","trade, vend, market, offer","buy, purchase"
seek,(v.),"Language of thought, action & change",Action verbs — creation & use,siːk/ সিক/ seek,Attempt to find (something).,খোঁজা,They are seeking shelter from the rain.,"A person holding a lantern, peering into the dark, looking for something.","seek help, hide and seek","look for, search for, pursue, find",ignore
selection,(n.),"Language of thought, action & change",Action verbs — creation & use,sɪˈlekʃn/ সিলেকশন/ sih-lek-shuhn,The action or fact of carefully choosing someone or something as being the best or most suitable.,বাছাই,The store offers a wide selection of clothes.,"A neat, organized row of very different, colorful items on a shelf.","wide selection, natural selection","choice, assortment, pick, variety",
select,(v.),"Language of thought, action & change",Action verbs — creation & use,sɪˈlekt/ সিলেক্ট/ sih-lekt,Carefully choose as being the best or most suitable.,বাছাই করা,Please select the correct answer.,A glowing cursor clicking on a specific choice from a digital menu.,"carefully select, select few","choose, pick, opt for, identify","reject, ignore"
choose,(v.),"Language of thought, action & change",Action verbs — creation & use,tʃuːz/ চুজ/ chooz,Pick out or select (someone or something) as being the best or most appropriate,পছন্দ করা / বেছে নেওয়া,You can choose whatever you like.,A hand pointing to a bright glowing golden box among wooden ones,"choose carefully, freely choose, have to choose","select, pick, decide, opt for","reject, refuse"
act,"(n.), (v.)","Language of thought, action & change","Greetings, communication & information exchange",ækt/ অ্যাক্ট / akt,Action; to perform,কাজ / অভিনয় করা,Act quickly.,"Actor performing on stage, dramatic illustration","act of kindness, take action, in the act, act out","deed, behave, perform, do","think, plan"
contact,"(n.), (v.)","Language of thought, action & change","Greetings, communication & information exchange",ˈkɒn.tækt/ কনট্যাক্ট / kon-takt,Touch; to communicate,যোগাযোগ / যোগাযোগ করা,Contact me.,"Phone and email icons connecting, communication illustration","contact lens, in contact, contact number, eye contact","communication, touch, reach, get in touch","avoid, ignore"
encounter,"(v.), (n.)","Language of thought, action & change","Greetings, communication & information exchange",ɪnˈkaʊn.tər/ ইনকাউন্টার / in-kown-tuh,To meet unexpectedly; meeting,হঠাৎ দেখা / সাক্ষাৎ,Unexpected encounter.,"Two people meeting by surprise in street, friendly illustration","close encounter, encounter problem, first encounter, chance encounter","meet, come across, face, experience","avoid, miss"
offer,"(v.), (n.)","Language of thought, action & change","Greetings, communication & information exchange",ˈɒf.ər/ অফার / off-uh,To propose; proposal,প্রস্তাব করা / অফার,Special offer.,"Store sign with discount offer and smile, attractive illustration","job offer, make an offer, special offer, peace offering","propose, bid, provide, suggest","refuse, withdraw"
please,"(exclamation), (v.)","Language of thought, action & change","Greetings, communication & information exchange",pliːz/ প্লিজ / pleez,Request politely; to make happy,দয়া করে / খুশি করা,Please help.,"Person smiling while helping another, polite illustration","please yourself, if you please, thank you please, pretty please","if you will, delight, satisfy, make happy","annoy, displease"
praise,"(n.), (v.)","Language of thought, action & change","Greetings, communication & information exchange",preɪz/ প্রেইজ / prayz,To express approval,প্রশংসা / প্রশংসা করা,Praise the good work.,"Gold star and thumbs up with smile, positive illustration","high praise, sing praise, praise for, earn praise","compliment, admire, commend, approve","criticise, condemn"
promise,"(v.), (n.)","Language of thought, action & change","Greetings, communication & information exchange",ˈprɒm.ɪs/ প্রমিস / prom-is,To assure; assurance,প্রতিশ্রুতি / প্রতিশ্রুতি দেওয়া,Keep the promise.,"Two hands shaking with pinky swear, trustworthy illustration","break a promise, keep promise, wedding promise, empty promise","pledge, vow, guarantee, commitment","break, lie"
request,"(n.), (v.)","Language of thought, action & change","Greetings, communication & information exchange",rɪˈkwest/ রিকোয়েস্ট / ri-kwest,Ask for; to ask,অনুরোধ / অনুরোধ করা,Special request.,"Person politely asking with hand raised, courteous illustration","make a request, at your request, request form, song request","ask for, appeal, demand, enquiry","refuse, ignore"
thanks,"(exclamation), (n.)","Language of thought, action & change","Greetings, communication & information exchange",θæŋks/ থ্যাংকস / thanks,Expression of gratitude,ধন্যবাদ / ধন্যবাদ,Thanks for everything.,"Grateful person with gift and smile, thankful illustration","thanks a lot, no thanks, give thanks, many thanks","gratitude, appreciation, cheers",ingratitude
action,(n.),"Language of thought, action & change","Greetings, communication & information exchange",ˈækʃn/ অ্যাকশন/ ak-shuhn,"The fact or process of doing something, typically to achieve an aim",কাজ / পদক্ষেপ,The government must take action to reduce pollution.,"A movie clapperboard snapping shut with motion blur, energetic vector art","take action, course of action, military action","deed, act, activity, measure",inaction
demonstrate,(v.),"Language of thought, action & change","Greetings, communication & information exchange",ˈdɛmənstreɪt/ ডেমনস্ট্রেট/ dem-uhn-streyt,Clearly show the existence or truth of (something) by giving proof or evidence,প্রদর্শন করা,He demonstrated how to use the machine.,A teacher pointing at a whiteboard showing a process,"demonstrate a skill, clearly demonstrate","show, prove, illustrate, display","hide, conceal"
